DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId, Temperature [2 m elevation corrected], Relative Humidity [2 m], Precipitation Total, Cloud Cover Total, Sunshine Duration, Shortwave Radiation, Wind Speed [10 m], Wind Direction [10 m], Wind Gust,Longitude,Latitude,Confirmed,Ccases
3/1/2020,1,3,2020,5,0,United_Kingdom,UK,0.75641,92,0,0.6,30.57028,8.9,7.05331,259.11447,21.6,51.5074 N,0.1278 W,36,36
3/2/2020,2,3,2020,13,0,United_Kingdom,UK,2.26641,86,0,5.4,56.55319,133.5,6.57959,248.62938,20.16,51.5074 N,0.1278 W,40,4
3/3/2020,3,3,2020,4,0,United_Kingdom,UK,4.29641,81,0,9,54.25532,277.68,6.59575,223.36343,21.24,51.5074 N,0.1278 W,51,11
3/4/2020,4,3,2020,11,0,United_Kingdom,UK,6.57641,74,0,11,52.97872,397.83,9.16664,234.46233,22.32,51.5074 N,0.1278 W,85,34
3/5/2020,5,3,2020,34,0,United_Kingdom,UK,9.66641,72,0.1,67,17.23404,241.19,19.1845,244.50244,36,51.5074 N,0.1278 W,115,30
3/6/2020,6,3,2020,30,1,United_Kingdom,UK,10.29641,68,0,85,5.74468,253.65,18.50474,247.12634,36.36,51.5074 N,0.1278 W,163,48
3/7/2020,7,3,2020,48,0,United_Kingdom,UK,11.00641,65,0,10,53.61702,389.82,18.94439,244.15561,37.08,51.5074 N,0.1278 W,206,43
3/8/2020,8,3,2020,43,1,United_Kingdom,UK,11.10641,64,0,10,53.61702,435.21,19.54004,244.13365,39.24,51.5074 N,0.1278 W,273,67
3/9/2020,9,3,2020,67,1,United_Kingdom,UK,10.11641,68,0,100,0,285.69,18.85427,246.69511,32.76,51.5074 N,0.1278 W,321,48
3/10/2020,10,3,2020,48,2,United_Kingdom,UK,9.78641,70,0,10,53.61702,227.84,19.21407,253.07248,35.28,51.5074 N,0.1278 W,382,61
3/11/2020,11,3,2020,52,1,United_Kingdom,UK,4.26641,87,0,0,35.23333,11.57,14.39546,272.1211,29.88,51.5074 N,0.1278 W,456,74
3/12/2020,12,3,2020,83,0,United_Kingdom,UK,5.23641,83,0,0,60,134.39,14.6907,274.15967,30.24,51.5074 N,0.1278 W,456,0
3/13/2020,13,3,2020,134,4,United_Kingdom,UK,6.82641,77,0,0,60,282.13,15.59749,277.85333,30.24,51.5074 N,0.1278 W,798,342
3/14/2020,14,3,2020,117,0,United_Kingdom,UK,8.32641,71,0,0,60,407.62,16.82332,280.95407,30.6,51.5074 N,0.1278 W,1140,342
3/15/2020,15,3,2020,433,11,United_Kingdom,UK,16.12641,73,0,10,53.61702,500.18,25.95179,264.6991,56.16,51.5074 N,0.1278 W,1140,0
3/16/2020,16,3,2020,251,14,United_Kingdom,UK,16.23641,70,0,10,53.61702,489.5,26.72511,265.4261,57.24,51.5074 N,0.1278 W,1543,403
3/17/2020,17,3,2020,152,20,United_Kingdom,UK,15.93641,68,0,10,53.61702,420.08,27.48572,266.66614,57.96,51.5074 N,0.1278 W,1950,407
3/18/2020,18,3,2020,407,5,United_Kingdom,UK,14.85641,70,0,10,53.61702,214.48999,26.93935,267.1659,57.96,51.5074 N,0.1278 W,2626,676
3/19/2020,19,3,2020,680,43,United_Kingdom,UK,7.91641,67,0,73,13.40425,79.21,19.5473,72.5528,33.48,51.5074 N,0.1278 W,2689,63
